date;Time (UTC);Latitude;Longitude;Region Name;Depth;Mw;Strike1;Dip1;Rake1;Strike2;Dip2;Rake2;Mo;DC;VR;Computed by;Method
20211218;05:16:40;36.07;23.20;x;45;4.Eyl;337;88;-8;67;81;-178;3.06E+16;87;0.85;Yavuz Gunes;SC3
20211205;21:46:47;38.89;43.48;x;10;4.Ağu;131;80;-173;40;83;-9;2.18E+16;86;0.84;Yavuz Gunes;SC3
20211130;04:00:40;37.68;25.93;x;10;5.Oca;113;44;-69;265;49;-109;5.68E+16;14;0.93;Yavuz Gunes;SC3
20211122;08:31:25;39.80;41.85;x;14;4.Tem;129;79;157;223;67;11;1.26E+16;98;0.80;Yavuz Gunes;SC3
20211119;12:40:51;39.80;41.93;x;10;5.Oca;123;63;171;217;82;27;5.42E+16;51;0.94;Yavuz Gunes;SC3
20211117;12:40:16;40.84;31.02;x;18;4.Eyl;344;86;7;253;82;176;3.15E+16;85;0.88;Yavuz Gunes;SC3
20211112;09:19:15;38.22;38.86;x;10;4.Eyl;331;72;-159;235;70;-18;2.80E+16;72;0.90;Yavuz Gunes;SC3
20211108;17:43:21;37.87;32.12;x;13;5.Oca;208;46;-91;30;43;-88;5.00E+16;76;0.94;Yavuz Gunes;SC3
20211019;05:32:33;34.64;28.32;x;28;5.Eyl;104;83;1;14;88;173;8.89E+17;38;0.89;Yavuz Gunes;SC3
20211012;09:24:07;35.00;26.31;x;22;6.Mar;207;16;-48;345;77;-101;3.17E+18;70;0.82;Yavuz Gunes;SC3
20210928;04:48:10;35.12;25.21;x;13;5.Şub;220;42;-84;33;47;-94;9.02E+16;9;0.87;Yavuz Gunes;SC3
20210927;06:17:20;35.12;25.21;x;10;6.0;207;50;-101;44;41;-76;1.13E+18;99;0.82;Yavuz Gunes;SC3
20210831;11:04:25;38.99;30.22;x;9;4.Eyl;126;40;-93;309;50;-88;3.13E+16;77;0.72;Remzi Polat;ISOLA
20210819;11:26:31;36.44;27.Ağu;x;10;4.Tem;332;83;-167;240;77;-6;1.64E+16;67;0.96;Yavuz Gunes;SC3
20210807;01:39:44;36.33;26.97;x;10;5.0;203;52;-77;2;39;-106;4.46E+16;97;0.90;Yavuz Gunes;SC3
20210803;12:38:18;36.38;26.98;x;10;5.Şub;199;54;-85;12;35;-95;7.92E+16;96;0.89;Yavuz Gunes;SC3
20210801;04:31:25;36.40;27.Tem;x;10;5.Haz;225;48;-64;9;47;-116;2.82E+17;73;0.89;Yavuz Gunes;SC3
20210724;02:07:37;35.23;25.25;x;10;4.Eyl;351;73;-44;96;47;-157;2.73E+16;84;0.90;Yavuz Gunes;SC3
20210722;14:16:25;36.42;27.Oca;x;10;4.Haz;208;52;-79;12;38;-102;1.02E+16;80;0.92;Yavuz Gunes;SC3
20210625;18:28:36;39.16;40.22;x;16;5.Mar;196;48;-53;328;53;-123;1.07E+17;65;0.94;Yavuz Gunes;SC3
20210621;22:14:17;36.30;26.97;x;10;5.May;213;52;-58;349;47;-123;2.22E+17;62;0.90;Yavuz Gunes;SC3
20210417;17:08:01;36.44;27.Eyl;x;10;4.Eyl;222;38;-83;34;51;-94;3.02E+16;90;0.90;Yavuz Gunes;SC3
20210413;20:28:04;36.50;27.Ağu;x;10;5.Mar;337;73;-175;245;85;-16;9.87E+16;51;0.91;Yavuz Gunes;SC3
20210312;12:57:50;39.83;22.Oca;x;10;5.May;108;38;-108;311;54;-75;2.24E+17;98;0.87;Yavuz Gunes;SC3
20210303;10:16:09;39.71;22.16;x;10;6.Mar;126;37;-103;323;53;-79;2.99E+18;98;0.92;Yavuz Gunes;SC3
20210213;11:29:23;40.03;44.48;x;9;4.Haz;40;57;48;279;51;136;9.31E+15;61;0.46;Dogan Kalafat;ISOLA
20210212;03:37:54;41.35;33.53;x;10;4.Nis;279;69;-172;186;82;-20;5.54E+15;94;0.80;Yavuz Gunes;SC3
20210209;15:53:56;38.60;31.64;x;14;4.0;39;49;-74;195;43;-107;1.49E+15;61;0.53;Remzi Polat;ISOLA
20210209;15:51:53;38.59;31.66;x;13;4.Nis;342;60;-136;225;53;-39;4.35E+15;94;0.80;Remzi Polat;ISOLA
20210202;00:02:43;39.10;36.10;x;20;4.May;346;60;-166;249;78;-30;7.58E+15;89;0.84;Yavuz Gunes;SC3
20210201;20:46:16;38.99;26.Haz;x;13;4.Tem;91;41;-89;271;48;-90;1.23E+16;94;0.87;Yavuz Gunes;SC3
20210201;13:10:17;38.95;26.Haz;x;10;4.Tem;348;85;-8;79;81;-175;1.18E+16;67;0.83;Yavuz Gunes;SC3
20210201;08:35:17;38.96;26.Tem;x;10;5.0;144;57;-2;236;87;-147;4.57E+16;59;0.81;Yavuz Gunes;SC3
20210201;06:00:01;38.95;26.Haz;x;10;4.May;336;82;-7;67;82;-172;7.77E+15;83;0.78;Yavuz Gunes;SC3
20210201;05:47:53;38.96;25.99;x;14;4.Ağu;132;48;-47;258;56;-127;1.83E+16;100;0.69;Yavuz Gunes;SC3
20210201;05:46:52;38.96;26.Haz;x;10;4.Ağu;151;83;-8;242;81;-173;1.99E+16;90;0.79;Yavuz Gunes;SC3
20210123;06:57:27;35.68;26.41;x;39;4.Mar;203;29;-112;49;62;-77;3.92E+15;40;0.85;Yavuz Gunes;SC3
20210110;19:53:01;40.05;33.32;x;10;4.May;106;79;159;200;70;10;7.91E+15;80;0.88;Yavuz Gunes;SC3
20201205;12:44:40;35.99;31.80;x;103;5.Mar;113;52;-3;205;87;-142;1.02E+17;83;0.89;Yavuz Gunes;SC3
20201203;05:45:19;37.95;41.69;x;18;5.0;325;76;158;60;69;14;3.53E+16;95;0.90;Yavuz Gunes;SC3
20201127;08:27:55;38.18;35.58;x;10;4.Haz;331;84;-170;240;80;-5;9.22E+15;88;0.80;Yavuz Gunes;SC3
20201111;06:49:45;37.87;26.95;x;10;4.May;89;42;-92;272;47;-87;6.49E+15;88;0.88;Yavuz Gunes;SC3
20201031;05:31:30;37.84;26.79;x;10;5.0;83;39;-113;292;54;-71;3.52E+16;92;0.95;Yavuz Gunes;SC3
20201030;15:14:55;37.86;26.88;x;10;5.Şub;97;81;-97;315;11;-52;7.44E+16;95;0.92;Yavuz Gunes;SC3
20201030;11:51:27;37.90;26.79;x;10;6.Eyl;97;34;-85;272;55;-93;3.00E+19;80;0.89;Yavuz Gunes;SC3
20200928;04:12:43;40.01;24.37;x;10;4.Haz;147;81;-12;238;77;-171;9.93E+15;92;0.84;Yavuz Gunes;SC3
20200926;22:50:26;39.99;24.40;x;10;5.Mar;145;82;-10;236;79;-172;1.05E+17;43;0.92;Yavuz Gunes;SC3
20200926;18:39:19;39.95;31.32;x;10;4.Mar;155;84;6;65;83;174;3.61E+15;78;0.87;Yavuz Gunes;SC3
20200924;13:38:31;40.81;28.13;x;10;4.Şub;169;86;-10;261;78;-174;2.62E+15;85;0.88;Yavuz Gunes;SC3
20200920;19:08:06;38.01;34.03;x;13;5.Şub;343;84;174;73;84;5;6.78E+16;61;0.94;Yavuz Gunes;SC3
20200916;14:48:18;38.67;41.98;x;14;4.Haz;121;58;144;231;60;37;1.03E+16;71;0.58;Dogan Kalafat;ISOLA
20200909;19:32:33;39.34;41.05;x;10;4.Oca;285;78;164;18;74;11;1.66E+15;71;0.80;Yavuz Gunes;SC3
20200908;21:57:23;40.78;27.47;x;12;4.Şub;96;76;166;189;76;14;2.63E+15;68;0.84;Yavuz Gunes;SC3
20200908;10:44:06;38.16;38.70;x;10;4.Tem;144;75;160;239;70;15;1.43E+16;73;0.84;Yavuz Gunes;SC3
20200817;07:27:02;36.86;23.67;x;83;5.0;0;72;45;253;47;155;3.31E+16;41;0.82;Yavuz Gunes;SC3
20200811;23:29:08;39.82;44.19;x;20;4.Nis;305;69;-171;212;82;-20;4.97E+15;71;0.80;Yavuz Gunes;SC3
